URL,Title,Publish date,Authors,Section,Tags,Sort (Views),Visitors,Views,Engaged minutes,New vis.,Returning vis.,Avg. views new vis.,Avg. views ret. vis.,Avg. minutes new vis.,Avg. minutes ret. vis.,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Li refs,Pi refs,Social interactions,Fb interactions,Tw interactions,Li interactions,Pi interactions,Impact
https://www.huffingtonpost.com/entry/trent-franks-congress_us_5a29b044e4b0a290f04f4911,Trent Franks To Resign From Congress,2017-12-07 17:08:00,"Paige Lavender,Matt Fuller",Politics,"@ads_sexy,@breaking,@developing,@health_adhd,@health_depression,@health_erectile,@health_gad,@health_hiv,@health_ibs,@health_models,@health_pain,@sponsor_msnbcpolitics,@team_us_huffpost_now,republican-congress,trent-franks,type: news,us-news",372476,299895,372476,194813,35379,198212,1.098,1.265,0.736,0.871,161491,176106,34879,41050,223251,10972,33128,28653,22429,6133,1,NA,7018,6741,214,35,28,1
http://www.huffingtonpost.com/entry/trump-attacks-mitch-mcconnell-paul-ryan_us_599ecd1fe4b05710aa5a351f,Donald Trump Steps Up Feud With Mitch McConnell And Paul Ryan,2017-08-24 09:18:00,Marina Fang,Politics,"@bustournewsletter,@genassign,@health_ibs,@health_models,@team_us_news_ga,donald-trump,mitch-mcconnell,paul-ryan,republican-politics,senate,type: news,us-news",371951,348325,371951,141012,17195,98186,1.088,1.093,1.091,1.224,74020,287407,10524,4861,104524,237884,7027,6169,3618,2508,2,9,3245,3079,110,3,53,1
http://www.huffingtonpost.com/entry/trump-pardon-himself_us_5973587be4b0e79ec1999463,"Donald Trump Insists He Has The 'Complete Power' To Pardon, As Russia Probe Persists",2017-07-22 10:49:00,Sam Levine,Politics,"@amazonecho,@health_erectile,@health_ibs,@health_models,@team_us_news_ga,anthony-scaramucci,democratic-politics,donald-trump,international-news,political-science,republican-politics,russia,type: news,us-news,us-presidential-elections",371122,333012,371122,411037,46291,221472,1.065,1.141,1.249,1.592,128899,201970,40253,31853,228332,5562,35521,47532,43683,3738,3,24,26661,26262,364,9,26,1
http://www.huffingtonpost.com/entry/nikki-haley-picked-the-wrong-day-to-complain-about-her-job_us_595c4bb7e4b05c37bb808bf0,Nikki Haley Picked The Wrong Day To Complain About Her Job,2017-07-04 23:42:00,Rebecca Shapiro,Politics,"@health_adhd,@health_depression,@health_gad,@health_ibs,@health_models,@team_us_news_trends,international-news,nikki-haley,north-korea,social-networking,type: news,us-news",371095,351840,371095,332142,54599,165675,1.05,1.117,1.505,1.552,123703,208841,38551,7942,129608,29267,16643,164260,162130,2097,NA,13,28707,28591,75,NA,41,0
https://www.huffingtonpost.com/entry/donald-trump-jr-roger-goodell_us_59c85d7de4b0cdc773321737,"Donald Trump Jr.'s Tweet Burns Roger Goodell, But Twitter Claps Back Harder",2017-09-24 22:48:00,David Moye,Politics,"@bustournewsletter,@health_adhd,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_news_trends,donald-trump,donald-trump-jr,news-and-politics,nfl,roger-goodell,twitter,type: news",369742,360709,369742,281390,34719,140953,1.048,1.068,1.487,1.629,100005,235992,33745,49392,115938,9019,18643,159495,152629,6700,NA,36,14497,14390,51,18,38,1
http://www.huffingtonpost.com/entry/donald-trump-arpaio-hurricane_us_59a0c517e4b05710aa5c4e6b,"While Americans Focus On A Category 4 Hurricane, Trump Does His Dirty Work",2017-08-25 22:40:00,Paige Lavender,Politics,"@health_adhd,@health_depression,@health_erectile,@health_gad,@health_hiv,@health_ibs,@health_models,@health_pain,@team_us_news_ga,daca,donald-trump,hurricane-harvey,joe-arpaio,presidential-pardon,sebastian-gorka,texas,texas-gulf-coast,transgender-military,type: news,us-news",367766,338257,367766,239530,37704,128674,1.07,1.136,1.344,1.47,76088,257983,33695,15363,110165,10234,26660,190746,186315,3655,14,86,33065,32688,180,30,167,1
https://www.huffingtonpost.com/entry/trump-photo-op_us_59d6cc16e4b072637c430e62,"In Bizarre Photo Op, Trump Tells Press 'This Is The Calm Before The Storm'",2017-10-05 20:45:00,Nick Visser,Politics,"@genassign,@health_ibs,@health_models,@team_us_news_ga,donald-trump,type: news,us-news",367713,328768,367713,255844,42228,199555,1.083,1.131,0.979,1.043,139316,189470,38927,14723,212521,2844,17010,98636,93747,4560,NA,16,38426,38337,57,14,18,0
http://www.huffingtonpost.com/entry/abortion-20-weeks-republicans-chip_us_59d3a3e6e4b048a4432552d4,House Passes An Abortion Ban After Letting Children's Health Program Expire,2017-10-03 13:28:00,Laura Bassett,Politics,"@ads_scary,@bustournewsletter,@health_adhd,@health_depression,@health_erectile,@health_gad,@health_hiv,@health_ibs,@health_models,@health_pain,@team_us_news_national_beats,abortion,house-of-representatives,hurricane-maria,public-health,puerto-rico,republican-politics,state-childrens-health-insurance-program,type: news,us-congressional-elections,us-news,white-house,womens-rights",367647,338011,367647,127278,40947,78449,1.085,1.155,1.002,1.075,65700,279115,22832,4183,35204,1271,15580,294376,292509,1785,25,20,269375,268631,477,168,99,1
https://www.huffingtonpost.com/entry/puerto-rica-hurricane-irma-maria_us_59c7f699e4b06ddf45f89c7a,Here's How You Can Help People In Puerto Rico,2017-09-24 15:30:00,Jennifer Bendery,Politics,"@amazonecho,@bustournewsletter,@health_adhd,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_news_national_beats,crowdsourcing,natural-disasters,puerto-rico,storms,type: news,us-news",367321,306382,367321,139041,87676,81537,1.139,1.327,0.739,0.872,132899,200515,33907,59628,32008,8706,37135,206288,141597,62989,96,10,165118,158458,4391,1929,340,1
http://www.huffingtonpost.com/entry/trump-jr-russian-intelligence_us_5969356ee4b0d6341fe8f28f,Evidence Suggests Russian Intelligence Pipeline To Trump Campaign,2017-07-14 20:12:00,Ryan Grenoble,Politics,"@genassign,@health_depression,@health_ibs,@health_models,@team_us_news_ga,democratic-national-committee,donald-trump,donald-trump-jr,foreign-intelligence-service,russia,russian-american,trump-tower,type: news,us-news,us-presidential-elections",367287,285637,367287,423712,41897,198727,1.109,1.364,1.403,1.771,133462,183582,50243,13089,270936,3549,13304,36354,30539,5516,4,21,15890,15394,350,20,126,1
http://www.huffingtonpost.com/entry/lindsey-graham-john-mccain-trump-attacks_us_59c9fa23e4b06ddf45faaabe,Lindsey Graham Fights Back Tears Defending John McCain From Trump's Attacks,2017-09-26 04:13:00,Rebecca Shapiro,Politics,"@health_depression,@health_ibs,@health_models,@team_us_news_trends,donald-trump,john-mccain,lindsey-graham,republican-politics,type: news,us-news",367120,336790,367120,127386,42237,129332,1.09,1.117,0.671,0.763,108594,230105,28421,14959,92584,3428,37472,201974,199387,1674,1,6,106481,106348,108,10,15,1
https://www.huffingtonpost.com/entry/steve-bannon-alabama_us_5a30b3f7e4b07ff75afeac81,Knives Out For Steve Bannon After Democrat Wins Senate Seat In Alabama,2017-12-13 01:47:00,Igor Bobic,Politics,"@health_erectile,@health_ibs,@health_models,@team_us_politics,alabama,alabama-supreme-court,party-leaders-of-the-united-states-senate,republican-politics,roy-moore,senate,steve-bannon,type: news,united-states-senate,us-news",367048,285766,367048,452898,40655,225317,1.078,1.242,1.394,1.746,203744,132228,31076,14271,260784,3479,30148,16521,12593,3850,1,3,16358,16201,139,3,15,0
http://www.huffingtonpost.com/entry/trump-fitness-for-office_us_599d92d6e4b0a296083b76a7,CNN Panel Openly Questions Whether Trump Is Fit For Office After Wild Arizona Rally,2017-08-23 11:31:00,Sam Levine,Politics,"@bustournewsletter,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_news_ga,cnn,donald-trump,type: news,us-news",366258,322016,366258,519616,45035,234623,1.098,1.155,1.707,1.88,205822,129460,30976,19486,259274,6624,21128,37942,35994,1896,6,3,23773,23537,161,24,51,1
http://www.huffingtonpost.com/entry/trump-boy-scouts_us_5976c605e4b0e201d5777fe7,Trump's 'Embarrassing Spectacle' At Boy Scout Jamboree Panned By Former Scouts,2017-07-25 00:53:00,Nick Visser,Politics,"@genassign,@health_depression,@health_erectile,@health_gad,@health_ibs,@health_models,@team_us_news_ga,boy-scouts,boy-scouts-of-america,donald-trump,eagle-scout,type: news",365507,335468,365507,348285,38512,158097,1.133,1.086,1.727,1.774,103248,222272,39987,17637,131842,3615,19128,171809,167245,4422,NA,52,71607,71371,171,NA,65,0
http://www.huffingtonpost.com/entry/katharine-gorka-life-after-hate_us_59921356e4b09096429943b6,Controversial Trump Aide Katharine Gorka Helped End Funding For Group That Fights White Supremacy,2017-08-15 08:34:00,Jessica Schulberg,Politics,"@bustournewsletter,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_news_national_beats,donald-trump,hate-crimes,hate-speech,international-news,islam-in-the-united-states,muslim-brotherhood,muslim-public-affairs-council,must-reads,sebastian-gorka,terrorism,type: news,ummah,us-news,white-house",363160,327890,363160,382055,49204,193760,1.08,1.08,1.421,1.574,154600,178758,29802,31142,167726,15371,28205,94471,39243,53760,84,43,56183,47142,8537,204,300,1
https://www.huffingtonpost.com/entry/roy-moore-lawyer-msnbc_us_5a0c712be4b0b17ffce1d8ad,Watch Roy Moore's Lawyer Give A Train Wreck Interview On MSNBC,2017-11-15 13:53:00,Sebastian Murdock,Politics,"@ads_sexy,@genassign,@health_erectile,@health_ibs,@health_models,@noad_mid_article,@team_us_huffpost_now,alabama,alabama-senate,roy-moore,type: news,us-news",363059,312392,363059,480032,39805,197718,1.089,1.168,1.734,2.023,179000,155769,28290,40327,214011,19935,21020,45464,37976,7175,NA,3,15571,15362,181,5,23,1
http://www.huffingtonpost.com/entry/richard-painter-donald-trump-obstruction_us_59c322ace4b0c90504fb6ce3,George W. Bush's Ethics Chief: This 'May Be What Puts An End To This White House',2017-09-21 00:35:00,Ed Mazza,Politics,"@bustournewsletter,@health_ibs,@health_models,@team_us_news_trends,donald-trump,fbi,fbi-director,george-w-bush,james-b-comey,presidency-of-george-w-bush,richard-painter,robert-mueller,russia-investigation,type: news,us-news,white-house",362578,337766,362578,216401,58163,190163,1.048,1.074,0.812,0.872,114715,207862,40001,8154,167017,22007,20912,125211,109719,14522,2,3,19125,18420,656,16,33,1
http://www.huffingtonpost.com/entry/jared-kushner-trump-alabama_us_59ccea6fe4b0210dfdfc60ea,Kushner Again: How He Helped Push Trump Into A Ditch In Alabama,2017-09-28 10:02:00,Vicky Ward,Politics,"@ads_sexy,@bustournewsletter,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_news_national_beats,@usnews,alabama,donald-trump,election-campaigns,jared-kushner,luther-strange,political-science,republican-politics,steve-bannon,type: news,us-news,us-presidential-elections",361746,326738,361746,457657,42323,252306,1.039,1.102,1.409,1.56,203009,127932,30805,16135,266899,5103,13039,30113,21982,7985,2,6,5907,3923,1947,11,26,0
https://www.huffingtonpost.com/entry/mueller-calls-to-resign-gop_us_59f49c1fe4b07fdc5fbe77a7,"As Russia Probe Heats Up, Conservatives Call For Special Counsel Mueller To Quit",2017-10-28 12:05:00,Hilary Hanson,Politics,"@health_depression,@health_ibs,@health_models,@team_us_news_trends,donald-trump,fbi,fbi-director,republican-politics,robert-mueller,russia,type: news,us-news,us-presidential-elections",359190,313640,359190,395254,56853,222957,1.046,1.173,1.245,1.451,151024,166686,41480,18497,242261,5106,11679,54085,48546,5435,26,11,35011,34549,261,72,129,1
https://www.huffingtonpost.com/entry/barack-obama-donald-trump-india-twitter_us_5a2258a6e4b0a02abe9157d6,Barack Obama Appears To Zing Donald Trump With Twitter Followers Boast,2017-12-02 03:18:00,Lee Moran,Politics,"@health_depression,@health_ibs,@health_models,@team_us_huffpost_now,barack-obama,donald-trump,social-networking,twitter,type: news,us-politics",359172,328011,359172,243083,45785,175217,1.021,1.129,0.898,1.147,127108,195080,36984,39281,179925,16578,24342,80336,74234,6025,8,2,23129,22807,283,27,12,1
https://www.huffingtonpost.com/entry/mike-flynn-trump-russia-mueller-probe_us_5a219c0fe4b03c44072d64bc,Mike Flynn Wasn't Robert Mueller's 'Big Fish.' Why The Trump Team Should Be Worried.,2017-12-01 18:17:00,Ryan J. Reilly,Politics,"@health_depression,@health_gad,@health_ibs,@health_models,@sponsor_msnbcpolitics,@team_us_enterprise_social_inequality,donald-trump,fbi,michael-t-flynn,mike-pence,robert-mueller,russia-investigation,type: news,united-states-presidential-transition",358807,293636,358807,340876,47975,209686,1.037,1.277,1.105,1.365,128343,186750,43714,12377,237965,4390,17923,30979,27041,3338,155,95,10676,10213,115,307,41,1
http://www.huffingtonpost.com/entry/trump-to-end-daca-report-politico_us_59acaa61e4b0b5e530ff6e88,Trump Reportedly To End DACA With 6-Month Delay,2017-09-03 21:38:00,Elise Foley,Politics,"@health_erectile,@health_ibs,@health_models,@team_us_news_national_beats,donald-trump,international-news,republican-politics,type: news,us-news",358709,311576,358709,162680,33330,118083,1.12,1.106,1.057,1.054,66802,268710,23197,10348,123579,147539,16411,45787,43500,2252,2,1,33028,32849,141,13,25,1
https://www.huffingtonpost.com/entry/colin-kaepernick-donald-trump_us_59c67acce4b0cdc77331a0ce,Colin Kaepernick's Mom Has No Time For Trump Calling Her Son A 'Son Of A Bitch',2017-09-23 11:45:00,Sam Levine,Politics,"@amazonecho,@bustournewsletter,@health_ibs,@health_models,@team_us_news_ga,@usnews,colin-kaepernick,donald-trump,hate-speech,national-anthem,nfl,sports,type: news",358689,331894,358689,89500,39018,112564,1.091,1.14,0.57,0.593,73040,253525,32124,20065,103305,1199,14586,205670,146302,59359,1,7,90190,88844,1296,30,20,1
https://www.huffingtonpost.com/entry/eric-trump-pocahontas_us_5a1d98b8e4b00c8a328dbce1,"Eric Trump Defends Dad's 'Pocahontas' Slur, But Twitter Claps Back Hard",2017-11-28 13:28:00,David Moye,Politics,"@health_erectile,@health_ibs,@health_models,@team_us_huffpost_now,animation-movies,donald-trump,elizabeth-warren,eric-trump,hate-speech,pocahontas,trump-family,type: news,us-news",358251,328916,358251,483864,40962,162594,1.085,1.095,2.144,2.392,127053,195217,35981,30339,134817,20911,23457,124137,110647,13030,166,288,20737,19926,112,387,312,1
https://www.huffingtonpost.com/entry/clinton-sanders-campaign-sexual-harassment_us_5a0dfdf2e4b045cf43705417,Women On Clinton And Sanders Campaigns Allege Sexual Harassment,2017-11-17 09:13:00,Staff,Politics,"@health_adhd,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_enterprise_politics,bernie-sanders,democratic-party,democratic-party-presidential-primaries,democratic-politics,election-campaigns,hillary-clinton,must-reads,sex-crimes,sexual-harassment,type: news,us-news,us-presidential-elections",358126,325876,358126,323324,120360,141573,0.99,1.136,1.076,1.324,136883,177589,43654,27045,123718,113689,27498,31532,14867,16249,30,1,5232,4638,444,133,17,1
http://www.huffingtonpost.com/entry/phoenix-new-times-sheriff-joe-arpaio_us_59a1787de4b06d67e337ea8a,Phoenix Newspaper Tears Into Former Sheriff Joe Arpaio In Brutal Twitter Thread,2017-08-26 10:31:00,"Hilary Hanson,Sam Levine",Politics,"@amazonecho,@bustournewsletter,@health_adhd,@health_depression,@health_erectile,@health_gad,@health_hiv,@health_ibs,@health_models,@health_pain,@team_us_news_trends,donald-trump,joe-arpaio,maricopa-county-sheriffs-office,phoenix-arizona,phoenix-new-times,twitter,type: news,us-news",356834,341186,356834,361502,44810,117862,1.068,1.127,1.995,2.33,84903,229791,42140,15065,64559,5138,26818,228816,213374,12029,3,28,164762,164044,579,34,105,1
https://www.huffingtonpost.com/entry/george-papadopoulos-big-deal_us_59f72de7e4b077d8dfcb085b,Robert Mueller Flipped A Trump Campaign Adviser. That's Bad News For The White House.,2017-10-30 14:03:00,"Ryan J. Reilly,Amanda Terkel",Politics,"@health_erectile,@health_ibs,@health_models,@team_us_news_national_beats,donald-trump,georgios-papadopoulos,international-news,republican-politics,type: news,us-news,us-presidential-elections",354759,297287,354759,506174,44009,196976,1.074,1.204,1.897,2.131,166608,159068,29083,34516,218265,14934,26067,33800,28990,4184,15,14,23219,22899,178,58,84,1
http://www.huffingtonpost.com/entry/burn-my-maga-hat_us_59bb4dc9e4b0edff971ac966,"Angry Right-Wingers Turn On Trump, Burn Their 'Make America Great Again' Hats",2017-09-15 03:06:00,Ed Mazza,Politics,"@amazonecho,@bustournewsletter,@health_depression,@health_ibs,@health_models,@team_us_news_trends,donald-trump,international-news,make-america-great-again,type: news,us-news",354293,348465,354293,150855,29631,102813,1.072,1.037,1.089,1.165,107989,217915,28389,18675,58761,3570,14072,246954,224034,10776,9,63,162515,161637,720,51,107,0
https://www.huffingtonpost.com/entry/female-democratic-senators-call-on-al-franken-to-resign_us_5a281be8e4b0c2117627b73e,Women Lead Charge As Dozens Of Senate Democrats Call For Franken To Resign,2017-12-06 11:42:00,"Marina Fang,Amanda Terkel",Politics,"@breaking,@developing,@health_erectile,@health_ibs,@health_models,@sponsor_msnbcpolitics,@team_us_huffpost_now,al-franken,kirsten-gillibrand,sex-crimes,type: news,us-news",353926,305090,353926,336217,39188,260177,1.095,1.187,0.99,1.164,235890,98116,19920,4223,297195,1398,9286,5623,4796,773,NA,NA,18649,18559,82,NA,8,1
http://www.huffingtonpost.com/entry/anatoli-samochornov-trump-jr-russia-meeting_us_5966ac00e4b0a8d46d11f69f,Also At Trump Jr.-Russia Meeting: An Ex-U.S. Government Worker With Liberal Views,2017-07-14 17:02:00,"Jessica Schulberg,Paul Blumenthal",Politics,"@health_erectile,@health_ibs,@health_models,@team_us_news_national_beats,anatoli-samochornov,donald-trump-jr,natalia-veselnitskaya,russia,type: news,us-department-of-state",352922,320331,352922,534658,45271,239376,1.035,1.111,1.582,1.927,154095,153580,45247,22179,261030,7299,13267,27065,21253,5681,11,NA,3565,3378,177,4,6,1
https://www.huffingtonpost.com/entry/trump-merry-christmas-twitter_us_5a407757e4b0b0e5a7a2d23c,Trump Celebrates Bringing 'Merry Christmas' Back. Twitter Reacts Accordingly.,2017-12-24 23:41:00,Rebecca Shapiro,Politics,"@health_ibs,@health_models,@team_us_huffpost_now,arts-and-entertainment,christmas-controversy,christmas-eve,donald-trump,holiday-greetings,republican-politics,twitter,type: news,us-news",351250,224833,351250,249131,31104,117990,1.134,1.28,1.422,1.703,129390,190075,31785,14136,130516,10372,84469,81144,79791,1331,2,19,16893,16818,39,9,27,0
http://www.huffingtonpost.com/entry/john-mccain-donald-trump-senate-health-care_us_5977e2bae4b0a8a40e8399df,"Trump Humiliates Everyone, Including John McCain",2017-07-25 21:45:00,Howard Fineman,Politics,"@health_depression,@health_erectile,@health_gad,@health_ibs,@health_models,@team_us_news_national_beats,affordable-care-act,donald-trump,health-care-reform,john-mccain,obamacare-repeal,republican-politics,type: news",350466,336405,350466,436604,53923,210904,1.019,1.089,1.524,1.699,149729,159442,41295,37953,207002,16162,19805,49134,24005,24906,NA,12,6476,5049,1390,3,34,1
https://www.huffingtonpost.com/entry/donald-trump-george-papadopoulos_us_59f86a2ee4b0aec1467aa951,"Donald Trump Dismisses Campaign Adviser As 'Young, Low Level Volunteer'",2017-10-31 09:36:00,Marina Fang,Politics,"@health_erectile,@health_ibs,@health_models,@team_us_news_ga,donald-trump,international-news,republican-politics,type: news,us-news,us-presidential-elections",349559,307744,349559,248623,21059,127843,1.098,1.172,1.427,1.682,112946,222693,13920,25340,147604,142064,12243,5753,5278,467,1,1,4673,4578,69,5,21,1
https://www.huffingtonpost.com/entry/republicans-no-longer-conservative-party_us_59767dd6e4b0e201d5776f8c,The GOP Is No Longer A 'Conservative' Party,2017-07-25 19:22:00,Staff,Politics,"@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_blog,conservatism,constitution,donald-trump,first-amendment,mitch-mcconnell,paul-ryan,radical,republican-party,type: news",347320,303827,347320,464567,42305,231981,1.063,1.174,1.531,1.724,146211,155169,45940,2954,255735,720,20431,39295,30571,7304,13,7,29348,27851,1319,127,51,0
http://www.huffingtonpost.com/entry/senate-parliamentarian-byrd-rule-health-care_us_59727d12e4b00e4363df9867,"Senate Referee Rejects Key Pieces Of Repeal Bill, Dealing Major Blow To GOP",2017-07-21 18:34:00,"Jonathan Cohn,Laura Bassett,Matt Fuller",Politics,"@health_ibs,@health_models,@team_us_news_national_beats,health-care-reform,legal-issues,parliamentarian,parliamentarian-of-the-united-states-senate,political-science,senate,type: news,us-government-resources,us-news,us-presidential-elections",347165,301850,347165,478689,42323,217218,1.076,1.137,1.388,1.879,149926,149045,48194,9022,223491,8525,30268,52247,46825,5262,6,5,21866,21216,600,13,37,1
https://www.huffingtonpost.com/entry/david-clarke-to-make-media-tasteblood_us_5a485540e4b025f99e1c09a8,Trump Booster David Clarke Threatens To Make Media 'Taste Their Own Blood',2017-12-31 09:28:00,Mary Papenfuss,Politics,"@health_ibs,@health_models,@team_us_huffpost_now,black-lives-matter,donald-trump,fbi,milwaukee,milwaukee-county-wisconsin,racism,twitter,type: news,us-news",344861,240328,344861,336407,68494,150497,1.045,1.149,1.344,1.6,151753,160830,32278,27638,95872,63164,92186,33581,31440,1335,217,51,16139,15139,98,784,118,0
https://www.huffingtonpost.com/entry/donald-trump-no-empathy_us_59e76efce4b0d0e4fe6c8d2d,"Trump Tried To Look Compassionate. Instead, He Looked Like A Jerk.",2017-10-18 16:43:00,Amanda Terkel,Politics,"@health_depression,@health_erectile,@health_gad,@health_ibs,@health_models,@team_us_news_national_beats,donald-trump,type: news,us-news,us-politics",341219,301768,341219,438755,38288,215495,1.03,1.154,1.539,1.738,150740,154491,35988,2851,247372,2154,11710,53575,51730,1771,35,6,26530,26135,130,246,19,1
